regime,nest_mu,method,toll,n_seeds,mean_n,W_exp,W_exp_lo,W_exp_hi,W_perc,W_perc_lo,W_perc_hi,TCS_exp,TCS_perc,R,suppression_rate,suppression_lo,suppression_hi,mean_vot_suppressed,mean_vot_travelled,spo_sec
elastic,0.7,mixed|d0340e0330h0330,0.28,30,2990.733333333333,-1.6975248514622847,-1.708948295112835,-1.6866371829536264,-1.5648522971659857,-1.5750113516225757,-1.554439835990344,-1.8194505073886065,-1.6867779530923077,0.10160471327193486,0.09245191902298318,0.08899348994949238,0.09587838813494157,10.686665044035465,19.94829027065961,10.916090168798307
elastic,0.7,mixed|d0340e0330h0330,0.5,30,2990.8333333333335,-1.7469237132277742,-1.759566287460205,-1.7349367929530803,-1.6139072429040047,-1.6250497190324584,-1.6028419874865067,-1.8944846973742788,-1.761468227050509,0.1229674867887538,0.18822636631925838,0.1845449494193904,0.191976606664227,11.471499076216862,20.86559206435034,8.551214725710151
elastic,0.7,mixed|d0600e0200h0200,0.0,30,2992.0666666666666,-1.738812767224772,-1.7503379621830342,-1.7259104469189566,-1.6527437509506449,-1.6656530278734405,-1.6405133606696936,-1.738812767224772,-1.6527437509506449,0.0,0.027325119508838314,0.025017369832871172,0.02942236395425511,18.733832631236016,18.978455261092165,18.08208611307649
elastic,0.7,mixed|d0600e0200h0200,0.17,30,2990.7,-1.7061221116496803,-1.716089599698324,-1.6956508433259463,-1.5424760387843794,-1.5519177064391492,-1.5320481539091502,-1.7905918456233036,-1.6269457727580032,0.0703914449780198,0.04785913248418862,0.045514508177651375,0.05032349701552023,12.038287220581264,19.484324942285525,16.401200029614042
elastic,0.7,mixed|d0600e0200h0200,0.28,30,2991.0666666666666,-1.7052914911504118,-1.716918227304713,-1.694091655150858,-1.546634026058528,-1.5574636907118415,-1.5354935062923754,-1.8197971840251799,-1.661139718933296,0.09542141072897334,0.09449182789915442,0.0897788109035711,0.09845687636189084,11.37780512292867,19.806375893887484,13.822727009045565
elastic,0.7,mixed|d0600e0200h0200,0.5,30,2990.6666666666665,-1.7605873154288356,-1.7763031267317708,-1.7468394668669753,-1.5763157171197941,-1.5925959877465021,-1.5593490969915225,-1.907705242883529,-1.7234336445744873,0.12259827287891101,0.17740334850293132,0.17247455569187092,0.18264541754098712,11.663407539594305,20.61912475205056,11.00494800413488
elastic,1.0,davis_threshold,0.0,30,2991.9,-1.720502774180045,-1.7338099994742397,-1.7074377377035719,-1.6142053315436196,-1.6323361689518217,-1.597895977735278,-1.720502774180045,-1.6142053315436196,0.0,0.020082642013891074,0.017832949567644876,0.02241291523497088,18.46886632231422,19.130925936700553,26.27887917776909
elastic,1.0,davis_threshold,0.17,30,2991.3333333333335,-1.6931445762052004,-1.7053827315639818,-1.680896798650664,-1.5217576330116358,-1.533815360709279,-1.5103123943531669,-1.7725239943345534,-1.6011370511409888,0.06614951510779418,0.048131141894068356,0.04434057374741207,0.05175344938904332,11.665196443655788,19.408425672225533,21.566420370835523
elastic,1.0,davis_threshold,0.28,30,2991.4333333333334,-1.7231289492461,-1.734163820438276,-1.712274909608343,-1.5267378423893838,-1.5410908000470274,-1.5114574900894773,-1.8337879124150784,-1.6373968055583612,0.09221580264081487,0.09023522180142036,0.08559471660743563,0.09510915452167967,11.905542738940403,19.788115278662154,18.611083658086603
elastic,1.0,davis_threshold,0.5,30,2989.0,-1.763952322877517,-1.7772337772652933,-1.750904722456102,-1.5142656499204021,-1.5286872352541576,-1.4982993879414717,-1.9204730153475802,-1.6707863423904656,0.13043391039171975,0.154623843300978,0.14804645995428242,0.16171618602766402,11.43736942312429,20.545229444637986,14.167594147187469
