method,toll,d,e,h,pct,interaction,ci_lo,ci_hi,klass,mode,n
mixed|d0700e0000h0300,0.5,0.7,0.0,0.3,0.3293901031497375,-0.00580618949044866,-0.020896274430630253,0.008563896414558618,linear,paired,27
mixed|d0700e0300h0000,0.0,0.7,0.3,0.0,-1.4660329382908706,0.02613974458717132,0.007526845423182524,0.044417007863992664,super,paired,24
mixed|d0700e0300h0000,0.17,0.7,0.3,0.0,-2.8110992550024405,0.04925600823243346,0.0363752139852195,0.06203685391833057,super,paired,23
mixed|d0700e0300h0000,0.28,0.7,0.3,0.0,-2.151425779904198,0.03787049088495689,0.021702747881298987,0.053926549441574136,super,paired,22
mixed|d0700e0300h0000,0.5,0.7,0.3,0.0,-1.1883098259535372,0.021085240507333985,0.003667441111617304,0.0372628737797209,super,paired,19
mixed|d0900e0000h0100,0.0,0.9,0.0,0.1,-0.32764420056336774,0.0057178021668496575,-0.013608075551763119,0.026276956002269532,linear,paired,24
mixed|d0900e0000h0100,0.17,0.9,0.0,0.1,0.211344696894015,-0.0036040741685103763,-0.015118570637622064,0.008730199382681008,linear,paired,26
mixed|d0900e0000h0100,0.28,0.9,0.0,0.1,-0.05671533154368095,0.0009765211926729503,-0.013948460772774642,0.014676180668594142,linear,paired,24
mixed|d0900e0000h0100,0.5,0.9,0.0,0.1,0.685865553229076,-0.012140530046188057,-0.03167846068769723,0.008169215953910666,linear,paired,26
mixed|d0900e0100h0000,0.0,0.9,0.1,0.0,-0.07552141177311224,0.001328703400785677,-0.01958216786614594,0.020829870090010024,linear,paired,21
mixed|d0900e0100h0000,0.17,0.9,0.1,0.0,-1.4627693982656824,0.02519193089312587,0.007344045520042798,0.042792970904701404,super,paired,23
mixed|d0900e0100h0000,0.28,0.9,0.1,0.0,-0.3585160719683735,0.006227667968300987,-0.008436136534218715,0.02145906712965576,linear,paired,26
mixed|d0900e0100h0000,0.5,0.9,0.1,0.0,-0.13628223799123612,0.0024176425584197993,-0.013062254128555885,0.01748574135312297,linear,paired,26
