kind,method,toll,pct,value,ci_lo,ci_hi,n,mode
toll_direct,mixed|d0000e0300h0700,0.28,-4.621244044117231,0.08211693610803834,0.07060247660477459,0.09570983365513558,30,paired
toll_direct,mixed|d0000e0300h0700,0.5,-2.0510382456410072,0.03644580873993182,0.02130303500894846,0.05268982978985528,30,paired
second_best_toll,mixed|d0000e0300h0700,0.28,-4.621244044117231,0.08211693610803834,0.07008927919564473,0.09513311867720325,30,paired
selfishness_gap,mixed|d0000e0400h0600,0.0,110.87537663153608,1.1087537663153608,1.1031595688252354,1.114691353416058,26,paired
selfishness_gap_vs_so,mixed|d0000e0400h0600,0.0,10.890428996715833,-0.17534507431795499,-0.18403344660894605,-0.16616162673233742,26,paired
selfishness_gap,mixed|d0000e0400h0600,0.17,106.06292673490461,1.060629267349046,1.0510347383484733,1.071091440731387,28,paired
selfishness_gap_vs_so,mixed|d0000e0400h0600,0.17,6.062895250994686,-0.0978423638085505,-0.11483270532898097,-0.081270064778612,28,paired
selfishness_gap,mixed|d0000e0400h0600,0.28,103.83204162990943,1.0383204162990942,1.0315447702996332,1.0447395992874546,24,paired
selfishness_gap_vs_so,mixed|d0000e0400h0600,0.28,3.84005270143105,-0.06193646323030477,-0.07292421134406446,-0.05051882671754731,24,paired
selfishness_gap,mixed|d0000e0400h0600,0.5,107.57049261125309,1.0757049261125309,1.0686096894321753,1.0831181206762917,33,paired
selfishness_gap_vs_so,mixed|d0000e0400h0600,0.5,7.567185876069338,-0.1217431947833167,-0.13281520000937896,-0.11072430264946323,33,paired
toll_gap,mixed|d0000e0400h0600,0.17,-49.22603013430278,-0.08582979627371794,-0.10720352026373633,-0.06636251994007802,20,paired
toll_gap,mixed|d0000e0400h0600,0.28,-73.96392905766555,-0.12896244010136804,-0.1470058768968343,-0.11240467549539067,15,paired
toll_gap,mixed|d0000e0400h0600,0.5,-27.202699800861687,-0.0474302350937716,-0.06035589688316545,-0.035814446656292596,20,paired
toll_direct,mixed|d0000e0400h0600,0.17,-4.31734537914594,0.0770405560534056,0.06280466090109892,0.0927164502505227,33,paired
toll_direct,mixed|d0000e0400h0600,0.28,-5.626736274226689,0.10040588678083576,0.08519732921040746,0.11513080996702701,32,paired
